drawbridge_handle,cookie_id,computer_os_type,computer_browser_version,country,anonymous_c0,anonymous_c1,anonymous_c2,anonymous_5,anonymous_6,anonymous_7
-1,id_10,computer_os_type_203,computer_browser_version_1158,country_146,1,anonymous_c1_1307,anonymous_c2_18778,15,1,204
handle_609762,id_100,computer_os_type_133,computer_browser_version_875,country_146,1,anonymous_c1_753,-1,41,1,204
handle_1622320,id_1000,computer_os_type_203,computer_browser_version_36,country_146,0,anonymous_c1_906,anonymous_c2_751,40,140,204
-1,id_10000,computer_os_type_203,computer_browser_version_36,country_146,1,anonymous_c1_255,anonymous_c2_2725,34,140,204
handle_1286628,id_100000,computer_os_type_203,computer_browser_version_875,country_146,0,anonymous_c1_255,anonymous_c2_235,52,134,204
-1,id_1000003,computer_os_type_200,computer_browser_version_683,country_146,0,anonymous_c1_983,-1,23,67,204
handle_226230,id_1000006,computer_os_type_203,computer_browser_version_1238,-1,1,-1,-1,1,183,183
-1,id_1000007,computer_os_type_133,computer_browser_version_36,country_177,-1,anonymous_c1_431,anonymous_c2_22023,7,141,197
handle_15216,id_1000008,computer_os_type_200,computer_browser_version_482,country_146,0,anonymous_c1_1179,anonymous_c2_2683,40,74,204
handle_1043549,id_1000009,computer_os_type_133,computer_browser_version_1158,country_146,0,anonymous_c1_1307,anonymous_c2_6720,11,161,203
handle_1303003,id_100001,computer_os_type_133,computer_browser_version_683,country_146,0,anonymous_c1_493,anonymous_c2_27360,9,136,204
-1,id_1000014,computer_os_type_203,computer_browser_version_36,country_146,0,anonymous_c1_1250,anonymous_c2_19302,89,140,204
handle_1929259,id_1000015,computer_os_type_26,computer_browser_version_450,country_146,0,anonymous_c1_550,anonymous_c2_1338,46,60,204
handle_853638,id_1000017,computer_os_type_133,computer_browser_version_1238,country_146,1,anonymous_c1_639,anonymous_c2_27190,15,1,165
handle_1204416,id_1000022,computer_os_type_185,computer_browser_version_897,-1,0,-1,-1,7,144,153
handle_1500607,id_1000025,computer_os_type_203,computer_browser_version_875,country_146,0,anonymous_c1_317,anonymous_c2_3469,11,1,200
handle_874748,id_1000026,computer_os_type_203,computer_browser_version_36,country_146,0,anonymous_c1_673,anonymous_c2_17315,15,165,190
-1,id_1000028,computer_os_type_203,computer_browser_version_611,country_146,1,-1,-1,11,150,204
handle_1257881,id_1000033,computer_os_type_146,computer_browser_version_548,-1,0,anonymous_c1_1128,-1,13,1,204
handle_2002832,id_1000034,-1,computer_browser_version_1123,country_146,-1,anonymous_c1_645,anonymous_c2_7206,5,18,199
handle_248735,id_1000036,computer_os_type_133,computer_browser_version_875,country_146,0,anonymous_c1_1318,anonymous_c2_22839,28,110,204
handle_2061632,id_1000037,computer_os_type_243,computer_browser_version_1395,country_146,0,-1,-1,5,1,194
handle_1851795,id_1000038,computer_os_type_203,computer_browser_version_875,country_146,0,anonymous_c1_78,anonymous_c2_24726,25,1,196
handle_1068291,id_1000039,computer_os_type_203,computer_browser_version_875,-1,1,anonymous_c1_844,-1,14,1,200
handle_1913675,id_1000042,computer_os_type_203,computer_browser_version_1158,-1,0,-1,-1,26,172,204
handle_47701,id_1000048,computer_os_type_203,computer_browser_version_875,-1,-1,-1,-1,12,1,197
handle_2059273,id_1000050,computer_os_type_203,computer_browser_version_875,country_169,-1,anonymous_c1_211,-1,16,1,196
handle_1724748,id_1000051,computer_os_type_133,computer_browser_version_36,country_146,0,anonymous_c1_1286,anonymous_c2_22618,10,153,183
handle_523401,id_1000055,computer_os_type_203,computer_browser_version_683,country_146,-1,anonymous_c1_276,anonymous_c2_4752,2,182,183
handle_87379,id_1000056,computer_os_type_151,computer_browser_version_1620,country_146,1,anonymous_c1_41,anonymous_c2_8400,9,1,201
handle_1892146,id_1000059,computer_os_type_70,computer_browser_version_1238,country_146,0,anonymous_c1_1093,anonymous_c2_5166,1,1,201
handle_2039528,id_100006,computer_os_type_164,computer_browser_version_193,country_146,0,anonymous_c1_439,anonymous_c2_23828,8,1,199
handle_434975,id_1000063,computer_os_type_243,computer_browser_version_1395,country_146,0,anonymous_c1_23,anonymous_c2_1001,22,1,193
handle_1587677,id_1000066,computer_os_type_133,computer_browser_version_36,-1,0,-1,-1,52,141,204
handle_1851828,id_1000070,computer_os_type_228,computer_browser_version_978,country_146,1,anonymous_c1_132,-1,15,1,188
handle_1895001,id_1000071,computer_os_type_203,computer_browser_version_875,country_146,1,anonymous_c1_331,-1,26,1,201
handle_1529081,id_1000072,computer_os_type_203,computer_browser_version_875,country_146,0,anonymous_c1_204,anonymous_c2_5893,14,96,198
-1,id_1000077,computer_os_type_203,computer_browser_version_1215,country_146,-1,anonymous_c1_1350,anonymous_c2_2705,12,191,204
handle_1535166,id_100008,computer_os_type_203,computer_browser_version_847,country_146,0,anonymous_c1_1062,anonymous_c2_12574,25,142,204
handle_1397046,id_1000080,computer_os_type_201,computer_browser_version_1414,country_146,-1,-1,-1,13,150,194
handle_1534404,id_1000083,computer_os_type_26,computer_browser_version_21,country_146,-1,anonymous_c1_863,anonymous_c2_7441,47,89,194
handle_257640,id_1000084,computer_os_type_203,computer_browser_version_36,-1,-1,-1,-1,3,144,171
handle_535304,id_1000085,computer_os_type_203,computer_browser_version_1195,country_146,-1,anonymous_c1_1221,anonymous_c2_9536,1,174,174
-1,id_1000087,computer_os_type_228,computer_browser_version_1244,country_146,-1,anonymous_c1_1352,anonymous_c2_21675,3,101,144
handle_1104897,id_1000089,computer_os_type_133,computer_browser_version_875,-1,0,-1,-1,6,195,204
-1,id_1000090,computer_os_type_200,computer_browser_version_482,country_146,-1,-1,-1,7,128,162
handle_681278,id_1000097,computer_os_type_228,computer_browser_version_875,country_146,0,-1,-1,8,1,204
-1,id_1000098,computer_os_type_203,computer_browser_version_683,country_146,0,anonymous_c1_1196,anonymous_c2_21514,14,134,183
handle_840372,id_10001,computer_os_type_157,computer_browser_version_220,country_146,-1,anonymous_c1_974,anonymous_c2_12008,20,169,200
handle_2067849,id_100010,computer_os_type_156,computer_browser_version_875,country_146,0,anonymous_c1_906,anonymous_c2_13598,27,1,201
handle_1395998,id_1000102,computer_os_type_203,computer_browser_version_897,country_146,1,anonymous_c1_649,-1,6,1,154
handle_2088961,id_1000103,computer_os_type_157,computer_browser_version_30,country_146,0,-1,-1,39,1,195
handle_1057073,id_1000105,computer_os_type_203,computer_browser_version_1158,country_146,-1,-1,-1,4,60,194
-1,id_1000106,computer_os_type_133,computer_browser_version_36,country_201,1,anonymous_c1_975,anonymous_c2_30893,4,145,204
handle_98848,id_1000107,computer_os_type_203,computer_browser_version_36,country_146,0,anonymous_c1_455,-1,12,142,203
handle_942075,id_1000109,computer_os_type_176,computer_browser_version_193,country_169,-1,anonymous_c1_1324,anonymous_c2_19031,11,1,192
handle_814706,id_100011,computer_os_type_203,computer_browser_version_1158,country_146,0,anonymous_c1_11,anonymous_c2_8236,52,67,204
handle_342921,id_1000111,computer_os_type_203,computer_browser_version_1421,country_146,0,-1,-1,38,107,204
handle_1086065,id_1000116,computer_os_type_203,computer_browser_version_36,-1,-1,-1,-1,5,142,186
handle_520580,id_1000117,computer_os_type_203,computer_browser_version_875,country_146,1,anonymous_c1_1380,anonymous_c2_10063,14,142,204
handle_1652627,id_1000123,computer_os_type_42,computer_browser_version_1158,country_146,0,-1,-1,21,1,196
handle_355167,id_1000128,computer_os_type_203,computer_browser_version_1238,country_146,0,anonymous_c1_614,anonymous_c2_10980,13,81,194
handle_2079172,id_1000129,computer_os_type_133,computer_browser_version_875,country_146,0,anonymous_c1_408,-1,30,39,204
handle_94608,id_1000130,computer_os_type_203,computer_browser_version_978,country_146,1,anonymous_c1_21,anonymous_c2_25416,12,138,176
-1,id_1000131,computer_os_type_109,computer_browser_version_683,country_146,1,anonymous_c1_518,-1,3,25,192
-1,id_1000132,computer_os_type_109,computer_browser_version_897,country_146,0,anonymous_c1_1221,anonymous_c2_24485,1,146,146
-1,id_1000135,computer_os_type_201,computer_browser_version_167,country_146,1,anonymous_c1_1089,anonymous_c2_5775,18,138,159
handle_1720494,id_1000136,computer_os_type_133,computer_browser_version_1236,country_146,0,anonymous_c1_78,anonymous_c2_16350,29,126,203
handle_372013,id_1000137,computer_os_type_203,computer_browser_version_1158,country_146,1,anonymous_c1_1089,anonymous_c2_14183,10,1,204
handle_2016301,id_1000139,computer_os_type_67,computer_browser_version_479,country_146,1,anonymous_c1_365,-1,44,1,204
handle_406651,id_1000143,computer_os_type_156,computer_browser_version_1083,country_146,0,anonymous_c1_136,anonymous_c2_29240,22,144,204
handle_543045,id_1000144,computer_os_type_133,computer_browser_version_875,country_146,-1,anonymous_c1_255,anonymous_c2_21638,7,1,203
-1,id_1000148,computer_os_type_133,computer_browser_version_875,country_201,0,-1,-1,51,1,201
handle_950063,id_100015,computer_os_type_203,computer_browser_version_1158,country_146,1,-1,-1,35,1,204
handle_1082152,id_1000150,computer_os_type_156,computer_browser_version_1421,country_146,0,anonymous_c1_973,anonymous_c2_25458,31,99,204
-1,id_1000152,computer_os_type_203,computer_browser_version_749,country_146,-1,anonymous_c1_673,anonymous_c2_21483,3,150,180
handle_1916517,id_1000153,computer_os_type_133,computer_browser_version_875,country_146,0,anonymous_c1_159,anonymous_c2_18716,14,46,195
-1,id_1000154,computer_os_type_201,computer_browser_version_847,country_146,-1,anonymous_c1_590,anonymous_c2_26777,1,166,166
handle_878707,id_1000155,computer_os_type_133,computer_browser_version_167,-1,0,-1,-1,24,157,200
handle_299174,id_1000158,computer_os_type_203,computer_browser_version_875,country_146,0,-1,-1,15,1,202
-1,id_100016,computer_os_type_133,computer_browser_version_1238,country_146,-1,-1,-1,1,154,154
handle_1945591,id_1000163,computer_os_type_203,computer_browser_version_875,country_146,0,-1,-1,33,32,203
-1,id_1000165,computer_os_type_203,computer_browser_version_1383,country_146,-1,-1,-1,1,149,149
handle_2075495,id_1000166,computer_os_type_203,computer_browser_version_875,country_146,1,anonymous_c1_255,anonymous_c2_5224,33,60,204
-1,id_1000173,computer_os_type_209,computer_browser_version_1088,country_146,0,-1,-1,8,100,152
handle_679628,id_1000174,computer_os_type_203,computer_browser_version_875,country_146,0,anonymous_c1_1062,anonymous_c2_3358,40,151,204
-1,id_1000175,computer_os_type_156,computer_browser_version_1083,country_146,-1,anonymous_c1_1015,anonymous_c2_13594,8,174,195
handle_2038781,id_1000180,computer_os_type_133,computer_browser_version_978,country_201,0,anonymous_c1_1000,anonymous_c2_6684,6,1,202
handle_1375551,id_1000181,computer_os_type_133,computer_browser_version_377,country_146,0,anonymous_c1_1350,anonymous_c2_29458,12,46,177
handle_57003,id_1000182,computer_os_type_203,computer_browser_version_875,country_146,0,-1,-1,52,1,204
handle_920539,id_1000185,computer_os_type_203,computer_browser_version_847,country_146,0,anonymous_c1_902,anonymous_c2_16128,21,147,203
handle_1365637,id_1000186,computer_os_type_165,computer_browser_version_1158,country_146,1,-1,-1,2,131,186
-1,id_1000187,computer_os_type_221,computer_browser_version_936,country_146,0,anonymous_c1_715,anonymous_c2_232,13,1,179
handle_1134031,id_1000189,computer_os_type_200,computer_browser_version_1658,country_146,0,-1,-1,51,1,204
handle_1367129,id_100019,computer_os_type_203,computer_browser_version_875,country_169,-1,anonymous_c1_21,-1,42,46,204
handle_244830,id_1000191,computer_os_type_133,computer_browser_version_36,country_146,1,anonymous_c1_927,anonymous_c2_19844,24,1,204
-1,id_1000193,computer_os_type_203,computer_browser_version_875,country_146,0,-1,-1,5,32,202
handle_1618506,id_1000194,computer_os_type_200,computer_browser_version_1421,country_146,0,-1,-1,18,85,204
handle_1262875,id_1000195,computer_os_type_200,computer_browser_version_683,country_201,1,anonymous_c1_1028,anonymous_c2_22888,14,164,203
